Marca_temporal;Puntuación;Nacionalidad;Modalidad_de_trabajo;Departamento_de_residencia;Género;Edad_en_años;Rol_principal_actual_en_la_organización;Años_de_experiencia_en_desarrollo_de_software;Años_de_experiencia_en_la_organización_actual;Considera_usted_que_es_feliz_en_su_trabajo;Considera_usted_que_los_proyectos_de_software_en_los_que_ha_participado_han_culminado_como;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;Trabajo en equipo;Comunicación;Igualdad;Condición física;Liderazgo;Motivación
2022-10-06 14:37:56.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;44;Diseñador o arquitecto;Superior a 7 años;Menos de 1 año;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-06 17:51:40.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;30;Ingeniero de mantenimiento - soporte;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;4;4;4;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3
2022-10-06 17:57:48.0000000;;Colombiana;Virtual;Bogotá;Masculino;34;Administrador de proyecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;3;4;4;4;3;3;4;3;3;3;3;3;4;4;3;3;3;3;3;4;3;3;3;4;3;4
2022-10-06 17:59:49.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;24;Analista;De 3 a 7 años;De 1 a 3 años;No;Discutidos;2;3;4;2;2;1;2;3;3;2;3;2;3;2;3;2;3;3;3;2;2;3;2;3;3;3;2
2022-10-06 20:25:09.0000000;;Colombiana;Virtual;Bogotá;Masculino;27;Programador;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;3;3;2;2;3;3;2;2;3;3;3;3;2;2;3;4;3;3;3;3;3;3;3;3;3;3
2022-10-07 05:54:09.0000000;;Colombiana;Presencial;Antioquia;Masculino;28;Programador;De 3 a 7 años;De 1 a 3 años;No;Exitosos;3;3;2;3;3;2;3;3;2;2;3;1;3;3;3;2;3;2;2;2;3;3;3;2;3;2;3
2022-10-07 09:00:31.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;39;Administrador de proyecto;Superior a 7 años;Superior a 7 años;No;Exitosos;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3
2022-10-07 09:29:11.0000000;;Colombiana;Virtual;Bogotá;Masculino;32;Administrador de proyecto;Superior a 7 años;De 3 a 7 años;Si;Discutidos;3;3;3;3;4;3;4;3;3;3;3;3;3;4;3;4;3;3;4;3;3;4;3;3;3;3;3
2022-10-07 09:48:37.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;39;Analista;Superior a 7 años;Superior a 7 años;No;Discutidos;2;2;3;3;3;2;3;2;3;3;2;2;3;2;3;3;2;2;2;2;2;3;3;2;2;3;2
2022-10-07 10:02:58.0000000;;Colombiana;Virtual;Cundinamarca;Masculino;38;Administrador de proyecto;De 3 a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-07 10:08:33.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;31;Administrador de proyecto;Superior a 7 años;Menos de 1 año;Si;Exitosos;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 14:11:21.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;31;Diseñador o arquitecto;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;4;4;3;4;3;3;4;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;4;3
2022-10-07 14:12:24.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cundinamarca;Masculino;24;Diseñador o arquitecto;De 1 a 3 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 14:22:12.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Diseñador o arquitecto;Menos de 1 año;Menos de 1 año;Si;Exitosos;4;4;4;4;3;3;3;3;4;3;4;3;3;4;4;4;4;4;3;4;3;4;4;4;3;3;4
2022-10-07 14:27:38.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Diseñador o arquitecto;De 1 a 3 años;Superior a 7 años;Si;Discutidos;3;3;4;3;3;2;3;3;4;3;3;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-07 14:34:31.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;28;Diseñador o arquitecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;4;4;4;4;2;3;4;4;3;3;3;3;4;4;3;4;4;4;4;4;4;3;4;4;4;3
2022-10-07 14:41:02.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Diseñador o arquitecto;Superior a 7 años;De 1 a 3 años;Si;Exitosos;3;3;4;3;4;3;2;3;3;3;4;4;3;4;3;3;4;4;3;3;3;3;3;4;3;4;4
2022-10-07 14:42:48.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;35;Diseñador o arquitecto;De 1 a 3 años;Superior a 7 años;Si;Exitosos;3;3;3;3;3;1;2;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
2022-10-07 14:45:44.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cundinamarca;Femenino;48;Diseñador o arquitecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;4;4;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;4
2022-10-07 14:49:32.0000000;;Colombiana;Híbrida (Virtual+Presencial);Caldas;Masculino;38;Diseñador o arquitecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 14:51:46.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;24;Diseñador o arquitecto;De 1 a 3 años;De 1 a 3 años;Si;Discutidos;3;4;3;3;4;2;2;2;4;4;3;2;3;3;3;4;3;3;3;3;2;4;3;3;2;3;3
